,,,,,,,,,
MoleculeName,Shift,Moiety,Multiplicity,RelativeIntegral,Other peaks,Urine,Plasma,Feces,Tissue
Alpha-keto-beta-methyl-N-valerate (3-methyl-2-oxovalerate),2.93,CH,multiplet,0.13,"0.89(t), 1.10(d), 1.46(m), 1.70(m), 2.93(m)",1,0,1,
Alpha-ketobutyrate (2-oxobutyrate),1.07,CH3,triplet,1,"1.07(t), 2.75(q)",,,,
Alpha-ketobutyrate (2-oxobutyrate),2.75,CH2,quartet,0.53,"1.07(t), 2.75(q)",,,,
Alpha-ketoglutarate (2-oxoglutarate),2.45,gammaCH2,triplet,1,"2.45(t), 3.01(t)",1,0,0,
Alpha-ketoglutarate (2-oxoglutarate),3.01,betaCH2,triplet,0.92,"2.45(t), 3.01(t)",1,0,0,
Alpha-ketoisocaproate (2-oxoisocaproate),0.94,2xCH3,doublet,0.94,"0.94(d), 2.1(m), 2.61(d)",1,0,0,
Alpha-ketoisocaproate (2-oxoisocaproate),2.1,CH,multiplet,0.07,"0.94(d), 2.1(m), 2.61(d)",1,0,0,
Alpha-ketoisocaproate (2-oxoisocaproate),2.61,CH2,doublet,0.33,"0.94(d), 2.1(m), 2.61(d)",1,0,0,
Alpha-ketoisovalerate (2-oxoisovalerate),1.13,2xCH3,doublet,1,"1.13(d), 3.02(m)",1,0,1,
Alpha-ketoisovalerate (2-oxoisovalerate),3.02,CH,multiplet,0.07,"1.13(d), 3.02(m)",1,0,1,
Alpha-Ketoisovaleric acid,1.13,CH3,doublet,,,,,,
Alpha-Ketoisovaleric acid,3.03,CH,sept,,,,,,
Alpha-Lactose,3.29,,t,,"3.29(t), 3.55(m), 3.59(d), 3.66(m), 3.73(t), 3.79(m), 3.86(m), 3.94(m), 4.46(d), 4.67(d), 5.25(d)",,,,
Alpha-Lactose,3.55,,m,,"3.29(t), 3.55(m), 3.59(d), 3.66(m), 3.73(t), 3.79(m), 3.86(m), 3.94(m), 4.46(d), 4.67(d), 5.25(d)",,,,
Alpha-Lactose,3.59,,d,,"3.29(t), 3.55(m), 3.59(d), 3.66(m), 3.73(t), 3.79(m), 3.86(m), 3.94(m), 4.46(d), 4.67(d), 5.25(d)",,,,
Alpha-Lactose,3.66,,multiplet,,"3.29(t), 3.55(m), 3.59(d), 3.66(m), 3.73(t), 3.79(m), 3.86(m), 3.94(m), 4.46(d), 4.67(d), 5.25(d)",,,,
Alpha-Lactose,3.73,,triplet,,"3.29(t), 3.55(m), 3.59(d), 3.66(m), 3.73(t), 3.79(m), 3.86(m), 3.94(m), 4.46(d), 4.67(d), 5.25(d)",,,,
Alpha-Lactose,3.79,,multiplet,,"3.29(t), 3.55(m), 3.59(d), 3.66(m), 3.73(t), 3.79(m), 3.86(m), 3.94(m), 4.46(d), 4.67(d), 5.25(d)",,,,
Alpha-Lactose,3.86,,multiplet,,"3.29(t), 3.55(m), 3.59(d), 3.66(m), 3.73(t), 3.79(m), 3.86(m), 3.94(m), 4.46(d), 4.67(d), 5.25(d)",,,,
Alpha-Lactose,3.94,,m,,"3.29(t), 3.55(m), 3.59(d), 3.66(m), 3.73(t), 3.79(m), 3.86(m), 3.94(m), 4.46(d), 4.67(d), 5.25(d)",,,,
Alpha-Lactose,4.46,,doublet,,"3.29(t), 3.55(m), 3.59(d), 3.66(m), 3.73(t), 3.79(m), 3.86(m), 3.94(m), 4.46(d), 4.67(d), 5.25(d)",,,,
Alpha-Lactose,4.67,,d,,"3.29(t), 3.55(m), 3.59(d), 3.66(m), 3.73(t), 3.79(m), 3.86(m), 3.94(m), 4.46(d), 4.67(d), 5.25(d)",,,,
Alpha-Lactose,5.25,,d,,"3.29(t), 3.55(m), 3.59(d), 3.66(m), 3.73(t), 3.79(m), 3.86(m), 3.94(m), 4.46(d), 4.67(d), 5.25(d)",,,,
Alpha-methylaspartate,1.48,CH3,singlet,1,"1.48(s), 2.56(d), 2.83(d)",,,,
Alpha-methylaspartate,2.56,CH2(ii),doublet,0.2,"1.48(s), 2.56(d), 2.83(d)",,,,
Alpha-methylaspartate,2.83,CH2(I),doublet,0.19,"1.48(s), 2.56(d), 2.83(d)",,,,
Amino adipic acid,1.65,γCH2,multiplet,,,,,,
Amino adipic acid,1.86,βCH2,multiplet,,,,,,
Amino adipic acid,2.28,δCH2,triplet,,,,,,
Amino adipic acid,3.74,αCH2,doublet of doublets,,,,,,
Aminooxyacetate,4.1,CH2,singlet,1,,,,,
AMP,4.05,H5' H'5',c,,,,,,
AMP,4.38,H3' H4',c,,,,,,
AMP,4.51,H2',dd,,,,,,
AMP,6.14,H1',d,,,,,,
AMP,8.24,C8H-ring,singlet,,,,,,
AMP,8.57,C2H-ring,singlet,,,,,,
Anserine,2.67,UNASSIGNED,multiplet,0.17,,,,,
Anserine,2.70,CH2-CO,doublet of doublets of triplets,,,,,,
Anserine,3.01,UNASSIGNED,2xd,0.12,,,,,
Anserine,3.07,CH2',dd,,,,,,
Anserine,3.21,UNASSIGNED,multiplet,0.26,,,,,
Anserine,3.21,UNASSIGNED,2xd,0.21,,,,,
Anserine,3.22,CH2-N,2t,,,,,,
Anserine,3.25,CH2,dd,,,,,,
Anserine,3.72,CH3,singlet,1,,,,,
Anserine,3.82,CH3,singlet,,,,,,
Anserine,4.48,CH,,0.02,,,,,
Anserine,4.51,CH,dd,,,,,,
Anserine,6.97,H4,singlet,0.25,,,,,
Anserine,7.17,H4-ring,s,,,,,,
Anserine,7.95,H2,singlet,0.12,,,,,
Anserine,8.39,H2-ring,singlet,,,,,,
Anthranilate,6.81,H3,triplet,0.92,"6.81(t), 6.87(d), 7.30(t), 7.70(d)",,,,
Anthranilate,6.87,H5,doublet,1,"6.81(t), 6.87(d), 7.30(t), 7.70(d)",,,,
Anthranilate,7.3,H4,triplet,0.77,"6.81(t), 6.87(d), 7.30(t), 7.70(d)",,,,
Anthranilate,7.7,H6,doublet,0.78,"6.81(t), 6.87(d), 7.30(t), 7.70(d)",,,,
Anthranilic acid,6.92,H2,d,,"6.92(d), 6.94(t), 7.35(t), 7.78(d)",,,,
Anthranilic acid,6.94,H4,t,,"6.92(d), 6.94(t), 7.35(t), 7.78(d)",,,,
Anthranilic acid,7.35,H3,triplet,,"6.92(d), 6.94(t), 7.35(t), 7.78(d)",,,,
Anthranilic acid,7.78,H1,doublet,,"6.92(d), 6.94(t), 7.35(t), 7.78(d)",,,,
Arginine,1.66,gammaCH2(ii),multiplet,0.13,"1.66(m), 1.73(m),1.92(m),3.20(t),3.77(t)",1,0,1,
Arginine,1.70,γCH2,multiplet,,"1.70(m), 1.93(m), 3.25(t), 3.78(t)",,,,
Arginine,1.73,gammaCH2(I),multiplet,0.14,"1.66(m), 1.73(m),1.92(m),3.20(t),3.77(t)",1,0,1,
Arginine,1.92,betaCH2,multiplet,0.36,"1.66(m), 1.73(m),1.92(m),3.20(t),3.77(t)",1,0,1,
Arginine,1.93,βCH2,multiplet,,"1.70(m), 1.93(m), 3.25(t), 3.78(t)",,,,
Arginine,3.25,deltaCH2,triplet,1,"1.66(m), 1.73(m),1.92(m),3.20(t),3.77(t)",1,0,1,
Arginine,3.25,δCH2,t,,"1.70(m), 1.93(m), 3.25(t), 3.78(t)",,,,
Arginine,3.77,CH,triplet,0.45,"1.66(m), 1.73(m),1.92(m),3.20(t),3.77(t)",1,0,1,
Arginine,3.78,αCH,triplet,,"1.70(m), 1.93(m), 3.25(t), 3.78(t)",,,,
Arginosuccinic acid,1.70,γCH2,multiplet,,,,,,
Arginosuccinic acid,1.93,βCH2,multiplet,,,,,,
Arginosuccinic acid,2.37,ζ'CH2 (2),doublet of doublets,,,,,,
Arginosuccinic acid,2.55,ζ'CH2,doublet of doublets,,,,,,
Arginosuccinic acid,2.67,ζCH2 (2),doublet of doublets,,,,,,
Arginosuccinic acid,2.82,ζCH2,doublet of doublets,,,,,,
Arginosuccinic acid,3.29,δCH2,t,,,,,,
Arginosuccinic acid,3.78,αCH,triplet,,,,,,
Arginosuccinic acid,4.28,εCH,ddd,,,,,,
Ascorbate,3.74,CH2(ii),doublet,0.74,"3.74(d), 3.76(d), 4.03(ddd), 4.52(d)",,,,
Ascorbate,3.76,CH2(I),doublet,0.99,"3.74(d), 3.76(d), 4.03(ddd), 4.52(d)",,,,
Ascorbate,4.03,CH,ddd,0.43,"3.74(d), 3.76(d), 4.03(ddd), 4.52(d)",,,,
Ascorbate,4.52,CH,doublet,1,"3.74(d), 3.76(d), 4.03(ddd), 4.52(d)",,,,
Ascorbic acid,3.74,H'3,doublet of doublets,,"3.74(dd), 3.77(dd), 4.07(ddd), 4.87(d)",,,,
Ascorbic acid,3.77,H3,doublet of doublets,,"3.74(dd), 3.77(dd), 4.07(ddd), 4.87(d)",,,,
Ascorbic acid,4.07,H2,ddd,,"3.74(dd), 3.77(dd), 4.07(ddd), 4.87(d)",,,,
Ascorbic acid,4.87,H1,d,,"3.74(dd), 3.77(dd), 4.07(ddd), 4.87(d)",,,,
Asparagine,2.86,betaCH2(ii),doublet of doublets,1,"2.87(dd), 2.95(dd), 4.01(dd)",0,0,1,
Asparagine,2.88,β'CH2,doublet of doublets,,"2.88(dd), 2.96(dd), 4.01(dd)",,,,
Asparagine,2.96,betaCH2(I),doublet of doublets,0.84,"2.87(dd), 2.95(dd), 4.01(dd)",0,0,1,
Asparagine,2.96,βCH2,doublet of doublets,,"2.88(dd), 2.96(dd), 4.01(dd)",,,,
Asparagine,4,alphaCH,doublet of doublets,0.92,"2.87(dd), 2.95(dd), 4.01(dd)",0,0,1,
Asparagine,4.01,αCH,dd,,"2.88(dd), 2.96(dd), 4.01(dd)",,,,
Aspartate,2.68,betaCH2(ii),doublet of doublets,1,"2.69(dd), 2.80(dd), 3.89(dd)",0,0,1,
Aspartate,2.82,betaCH2(I),doublet of doublets,1,"2.69(dd), 2.80(dd), 3.89(dd)",0,0,1,
Aspartate,3.91,alphaCH,doublet of doublets,0.8,"2.69(dd), 2.80(dd), 3.89(dd)",0,0,1,
Aspartic acid,2.73,β'CH2,doublet of doublets,,"2.73(dd), 2.84(dd), 3.92(dd)",,,,
Aspartic acid,2.84,βCH2,doublet of doublets,,"2.73(dd), 2.84(dd), 3.92(dd)",,,,
Aspartic acid,3.92,αCH,dd,,"2.73(dd), 2.84(dd), 3.92(dd)",,,,
ATP,4.07,H25',c,,"4.07(m), 4.26(m), 4.41(m), 4.60(dd), 6.14(d), 8.24(s), 8.52(s)",,,,
ATP,4.26,H4',m,,"4.07(m), 4.26(m), 4.41(m), 4.60(dd), 6.14(d), 8.24(s), 8.52(s)",,,,
ATP,4.41,H3',c,,"4.07(m), 4.26(m), 4.41(m), 4.60(dd), 6.14(d), 8.24(s), 8.52(s)",,,,
ATP,4.60,H2',dd,,"4.07(m), 4.26(m), 4.41(m), 4.60(dd), 6.14(d), 8.24(s), 8.52(s)",,,,
ATP,6.14,H1',d,,"4.07(m), 4.26(m), 4.41(m), 4.60(dd), 6.14(d), 8.24(s), 8.52(s)",,,,
ATP,8.24,C8H-ring,singlet,,"4.07(m), 4.26(m), 4.41(m), 4.60(dd), 6.14(d), 8.24(s), 8.52(s)",,,,
ATP,8.52,C2H-ring,singlet,,"4.07(m), 4.26(m), 4.41(m), 4.60(dd), 6.14(d), 8.24(s), 8.52(s)",,,,
Benzoate,7.47,H3 and H5,triplet,1,"7.47(t), 7.56(t), 7.88(d)",,,,
Benzoate,7.56,H4,triplet,0.45,"7.47(t), 7.56(t), 7.88(d)",,,,
Benzoate,7.88,H2 and H6,doublet,0.9,"7.47(t), 7.56(t), 7.88(d)",,,,
Beta-alanine,2.56,CH2COOH,triplet,1,"2.56(t), 3.19(t)",,,,
Beta-alanine,3.19,NCH2,triplet,0.9,"2.56(t), 3.19(t)",,,,
Beta-aminobutyrate ,1.33,CH3,doublet,1,"1.33(d), 2.50(ddd), 3.62(s)",,,,
Beta-aminobutyrate ,2.5,CH2,3xd,0.45,"1.33(d), 2.50(ddd), 3.62(s)",,,,
Beta-aminobutyrate ,3.62,CH,singlet,0.13,"1.33(d), 2.50(ddd), 3.62(s)",,,,
Beta-aminoisobutyrate (3-aminoisobutyrate),1.2,CH3,doublet,1,"1.20(d), 2.61(m), 3.04(dd), 3.11(dd)",,,,
Beta-aminoisobutyrate (3-aminoisobutyrate),2.61,CH,multiplet,0.11,"1.2(d), 2.61(m), 3.04(dd), 3.11(dd)",,,,
Beta-aminoisobutyrate (3-aminoisobutyrate),3.04,CH2(ii),doublet of doublets,0.21,"1.2(d), 2.61(m), 3.04(dd), 3.11(dd)",,,,
Beta-aminoisobutyrate (3-aminoisobutyrate),3.11,CH2(i),doublet of doublets,0.2,"1.2(d), 2.61(m), 3.04(dd), 3.11(dd)",,,,
beta-glucose,3.24,2-H,doublet of doublets,,"3.24(dd=t), 3.40(t), 3.47(ddd), 3.48(t), 3.72(dd), 3.90(dd), 4.65(d)",1,1,1,
beta-glucose,3.4,4-H,triplet,,"3.24(dd=t), 3.40(t), 3.47(ddd), 3.48(t), 3.72(dd), 3.90(dd), 4.65(d)",1,1,1,
beta-glucose,3.47,5-H,ddd,,"3.24(dd=t), 3.40(t), 3.47(ddd), 3.48(t), 3.72(dd), 3.90(dd), 4.65(d)",1,1,1,
beta-glucose,3.48,3-H,triplet,,"3.24(dd=t), 3.40(t), 3.47(ddd), 3.48(t), 3.72(dd), 3.90(dd), 4.65(d)",1,1,1,
beta-glucose,3.72,CH2(i),doublet of doublets,,"3.24(dd=t), 3.40(t), 3.47(ddd), 3.48(t), 3.72(dd), 3.90(dd), 4.65(d)",1,1,1,
beta-glucose,3.9,CH2(ii),doublet of doublets,,"3.24(dd=t), 3.40(t), 3.47(ddd), 3.48(t), 3.72(dd), 3.90(dd), 4.65(d)",1,1,1,
beta-glucose,4.65,1-H,doublet,,"3.24(dd=t), 3.40(t), 3.47(ddd), 3.48(t), 3.72(dd), 3.90(dd), 4.65(d)",1,1,1,
beta-hydroxy-beta-methylbutyrate (HMB),1.27,,singlet,,"1.27(s), 2.37(s)",,,,
beta-hydroxy-beta-methylbutyrate (HMB),2.37,,singlet,,"1.27(s), 2.37(s)",,,,
Beta-hydroxybutyrate (3-hydroxybutyrate),1.2,CH3,doublet,1,"1.20(d), 2.31(dd), 2.41(dd), 4.16(m)",1,1,1,
Beta-hydroxybutyrate (3-hydroxybutyrate),2.31,CH2(ii),doublet of doublets,0.25,"1.20(d), 2.31(dd), 2.41(dd), 4.16(m)",1,1,1,
Beta-hydroxybutyrate (3-hydroxybutyrate),2.41,CH2(I),doublet of doublets,0.24,"1.20(d), 2.31(dd), 2.41(dd), 4.16(m)",1,1,1,
Beta-hydroxybutyrate (3-hydroxybutyrate),4.16,CH,dt,0.14,"1.20(d), 2.31(dd), 2.41(dd), 4.16(m)",1,1,1,
beta-hydroxybutyric acid,1.20,γCH3,doublet,,"1.20(d), 2.31(dd), 2.41(dd), 4.15(sext)",,,,
beta-hydroxybutyric acid,2.31,αCH,doublet of doublets,,"1.20(d), 2.31(dd), 2.41(dd), 4.15(sext)",,,,
beta-hydroxybutyric acid,2.41,αCH,doublet of doublets,,"1.20(d), 2.31(dd), 2.41(dd), 4.15(sext)",,,,
beta-hydroxybutyric acid,4.15,βCH,sext,,"1.20(d), 2.31(dd), 2.41(dd), 4.15(sext)",,,,
beta-hydroxyisovalerate (3-hydroxyisovalerate),1.27,CH3,singlet,,"1.27(s),2.37(s)",1,1,1,
beta-hydroxyisovalerate (3-hydroxyisovalerate),2.37,,singlet,,"1.27(s),2.37(s)",1,1,1,
Betaine,3.26,CH3,singlet,1,"3.26(s), 3.90(s)",,,,
Betaine,3.29,N-CH3,s,,"3.29(s), 4.10(s)",,,,
Betaine,3.9,CH2,singlet,0.24,"3.26(s), 3.90(s)",,,,
Betaine,4.10,CH2,singlet,,"3.29(s), 4.10(s)",,,,
Betaine aldehyde,3.24,CH3x3,singlet,1,"3.24(s), 3.43(d)",,,,
Betaine aldehyde,3.43,CH2,doublet,0.06,"3.24(s), 3.43(d)",,,,
Beta-ketoadipate (3-oxoadipate),2.42,deltaCH2,triplet,1,"2.42(t), 2.85(t), 3.46(s)",,,,
Beta-ketoadipate (3-oxoadipate),2.85,betaCH2,triplet,0.92,"2.42(t), 2.85(t), 3.46(s)",,,,
Beta-ketoadipate (3-oxoadipate),3.46,alphaCH2,singlet,0.53,"2.42(t), 2.85(t), 3.46(s)",,,,
Beta-phenylethylamine,3.02,CH2CH2NH2,triplet,0.9,,,,,
Beta-phenylethylamine,3.3,CH2NH2,triplet,0.96,,,,,
Beta-phenylethylamine,7.36,H2,doublet,1,,,,,
Beta-phenylethylamine,7.38,H4,singlet,0.25,,,,,
Beta-phenylethylamine,7.44,H3,triplet,0.67,,,,,
Beta-phenylpyruvate,4.12,CH2,singlet,1,"4.12(s), 7.28(d),7.37(m),7.43(t)",,,,
Beta-phenylpyruvate,7.28,H2 and H6,doublet,0.7,"4.12(s), 7.28(d),7.37(m),7.43(t)",,,,
Beta-phenylpyruvate,7.37,H4,qt,0.33,"4.12(s), 7.28(d),7.37(m),7.43(t)",,,,
Beta-phenylpyruvate,7.43,H3 and H5,triplet,0.69,"4.12(s), 7.28(d),7.37(m),7.43(t)",,,,
beta-xylose,3.2,2-CH,,,"3.2, 3.31, 3.45, 3.62, 3.93, 4.58(d)",,,,
beta-xylose,3.31,5-CH,,,"3.2, 3.31, 3.45, 3.62, 3.93, 4.58(d)",,,,
beta-xylose,3.45,3-CH,,,"3.2, 3.31, 3.45, 3.62, 3.93, 4.58(d)",,,,
beta-xylose,3.62,4-CH,,,"3.2, 3.31, 3.45, 3.62, 3.93, 4.58(d)",,,,
beta-xylose,3.93,5-CH,,,"3.2, 3.31, 3.45, 3.62, 3.93, 4.58(d)",,,,
beta-xylose,4.58,1-CH,doublet,,"3.2, 3.31, 3.45, 3.62, 3.93, 4.58(d)",,,,
Bile acids (mixed) ,0.72,,singlet,,"0.72(s), 0.95(s), 0.98(d)",,,,
Bile acids (mixed) ,0.95,,singlet,,"0.72(s), 0.95(s), 0.98(d)",,,,
Bile acids (mixed) ,0.98,,doublet,,"0.72(s), 0.95(s), 0.98(d)",,,,
Biliverdin,1.5,COMPLEX,s (broad),0.21,,,,,
Biliverdin,2,COMPLEX,m (broad),1,,,,,
Biliverdin,2.3,COMPLEX,s (broad),0.91,,,,,
Biliverdin,2.8,COMPLEX,s (broad),0.31,,,,,
Butyrate,0.9,CH3,triplet,1,"0.90(t), 1.56(m), 2.16(t)",1,0,1,
Butyrate,1.56,betaCH2,doublet of triplets,0.32,"0.90(t), 1.56(m), 2.16(t)",1,0,1,
Butyrate,2.16,alphaCH2,triplet,0.63,"0.90(t), 1.56(m), 2.16(t)",1,0,1,
Cadaverine,1.48,,multiplet,,"1.48(m), 1.73(m), 3.02(t)",,,,
Cadaverine,1.48,γCH2,"""quint""",,,,,,
Cadaverine,1.73,,multiplet,,"1.48(m), 1.73(m), 3.02(t)",,,,
Cadaverine,1.73,βCH2,quint,,,,,,
Cadaverine,3.02,,triplet,,"1.48(m), 1.73(m), 3.02(t)",,,,
Cadaverine,3.03,αCH2,t,,,,,,
"caffeine (1,3,7-trimethylxanthine)",3.33,N3CH3,singlet,,"3.33(s), 3.51(s), 3.93(s), 7.86(s)",,,,
"caffeine (1,3,7-trimethylxanthine)",3.51,N1CH3,singlet,,"3.33(s), 3.51(s), 3.93(s), 7.86(s)",,,,
"caffeine (1,3,7-trimethylxanthine)",3.93,N7CH3,singlet,,"3.33(s), 3.51(s), 3.93(s), 7.86(s)",,,,
"caffeine (1,3,7-trimethylxanthine)",7.86,C6H,singlet,,"3.33(s), 3.51(s), 3.93(s), 7.86(s)",,,,
Carbamylphosphate,,ALL EXCHANGED,,,,,,,
Carnitine,2.42,γCH,doublet of doublets,,,,,,
Carnitine,2.44,CH2COOH,doublet of doublets,0.08,"2.44(dd), 3.23(s), 3.43(m)",,,,
Carnitine,2.46,γ'CH,doublet of doublets,,,,,,
Carnitine,3.23,CH3,singlet,1,"2.44(dd), 3.23(s), 3.43(m)",,,,
Carnitine,3.23,N-CH3,s,,,,,,
Carnitine,3.43,NCH2,multiplet,0.12,"2.44(dd), 3.23(s), 3.43(m)",,,,
Carnitine,3.43,αCH2,m,,,,,,
Carnitine,4.57,βCH,m,,,,,,
carnosine,2.66,,doublet of tripets,,"2.66(dt), 2.99(dd), 3.15(dd), 3.21(dt), 4.46(m), 7.0(s), 7.88(s)",,,,
Carnosine,2.70,CH2-CO,multiplet,,"2.70(m), 3.06(dd), 3.21(dd), 3.23(t), 4.48(dd), 7.12(s), 8.18(s)",,,,
Carnosine,2.99,CH2(ii),doublet of doublets,0.38,"2.66(dt), 2.99(dd), 3.15(dd), 3.21(dt), 4.46(m), 7.0(s), 7.88(s)",,,,
Carnosine,3.06,CH' to ring,dd,,"2.70(m), 3.06(dd), 3.21(dd), 3.23(t), 4.48(dd), 7.12(s), 8.18(s)",,,,
Carnosine,3.15,CH2(I),doublet of doublets,0.37,"2.66(dt), 2.99(dd), 3.15(dd), 3.21(dt), 4.46(m), 7.0(s), 7.88(s)",,,,
carnosine,3.21,,doublet of triplets,,"2.66(dt), 2.99(dd), 3.15(dd), 3.21(dt), 4.46(m), 7.0(s), 7.88(s)",,,,
Carnosine,3.21,CH to ring,dd,,"2.70(m), 3.06(dd), 3.21(dd), 3.23(t), 4.48(dd), 7.12(s), 8.18(s)",,,,
Carnosine,3.23,CH2-NH2,t,,"2.70(m), 3.06(dd), 3.21(dd), 3.23(t), 4.48(dd), 7.12(s), 8.18(s)",,,,
Carnosine,4.46,CHCOOH,multiplet,0.3,"2.66(dt), 2.99(dd), 3.15(dd), 3.21(dt), 4.46(m), 7.0(s), 7.88(s)",,,,
Carnosine,4.48,CH,doublet of doublets,,"2.70(m), 3.06(dd), 3.21(dd), 3.23(t), 4.48(dd), 7.12(s), 8.18(s)",,,,
Carnosine,7,H4,singlet,0.91,"2.66(dt), 2.99(dd), 3.15(dd), 3.21(dt), 4.46(m), 7.0(s), 7.88(s)",,,,
Carnosine,7.12,H5-ring,s,,"2.70(m), 3.06(dd), 3.21(dd), 3.23(t), 4.48(dd), 7.12(s), 8.18(s)",,,,
Carnosine,7.88,H2,singlet,0.85,"2.66(dt), 2.99(dd), 3.15(dd), 3.21(dt), 4.46(m), 7.0(s), 7.88(s)",,,,
Carnosine,8.18,H3-ring,singlet,,"2.70(m), 3.06(dd), 3.21(dd), 3.23(t), 4.48(dd), 7.12(s), 8.18(s)",,,,
Catechol,6.87,H3 and H6,triplet,0.92,,,,,
Catechol,6.95,H4 and H5,triplet,1,,,,,
Chlorogenic acid,3.87,H4'-ring,doublet of doublets,,,,,,
Chlorogenic acid,4.26,H3'-ring,dd,,,,,,
Chlorogenic acid,5.32,H5'-ring,dt,,,,,,
Chlorogenic acid,6.30,CH=,d,,,,,,
Chlorogenic acid,6.91,H5-ring,d,,,,,,
Chlorogenic acid,7.05,H6-ring,dd,,,,,,
Chlorogenic acid,7.12,H2-ring,d,,,,,,
Chlorogenic acid,7.57,COO-CH=,doublet,,,,,,
Chlorogenic acid,"2.20,2.25 or 2.04",H2'-ring,,,,,,,
Chlorogenic acid,"2.20,2.25 or 2.04",H'2'-ring,,,,,,,
Chlorogenic acid,"2.20,2.25 or 2.04",H6'-ring,,,,,,,
Chlorogenic acid,"2.20,2.25 or 2.04",H'6'-ring,,,,,,,
cholate,0.72,,singlet,,"0.72(s), 0.91(s), 0.96(d), 1.0(td), 1.16(m), 1.32(m), 1.43(m), 1.50(d), 1.66(m), 1.74(m), 1.79(dt), 2.02(m), 2.11(m), 2.23(m), 3.51(m), 3.90(s broad), 4.07(t=br s)",,,,
cholate,0.91,,singlet,,"0.72(s), 0.91(s), 0.96(d), 1.0(td), 1.16(m), 1.32(m), 1.43(m), 1.50(d), 1.66(m), 1.74(m), 1.79(dt), 2.02(m), 2.11(m), 2.23(m), 3.51(m), 3.90(s broad), 4.07(t=br s)",,,,
cholate,0.96,,doublet,,"0.72(s), 0.91(s), 0.96(d), 1.0(td), 1.16(m), 1.32(m), 1.43(m), 1.50(d), 1.66(m), 1.74(m), 1.79(dt), 2.02(m), 2.11(m), 2.23(m), 3.51(m), 3.90(s broad), 4.07(t=br s)",,,,
cholate,1,,tripet of doublets,,"0.72(s), 0.91(s), 0.96(d), 1.0(td), 1.16(m), 1.32(m), 1.43(m), 1.50(d), 1.66(m), 1.74(m), 1.79(dt), 2.02(m), 2.11(m), 2.23(m), 3.51(m), 3.90(s broad), 4.07(t=br s)",,,,
cholate,1.16,,multiplet,,"0.72(s), 0.91(s), 0.96(d), 1.0(td), 1.16(m), 1.32(m), 1.43(m), 1.50(d), 1.66(m), 1.74(m), 1.79(dt), 2.02(m), 2.11(m), 2.23(m), 3.51(m), 3.90(s broad), 4.07(t=br s)",,,,
cholate,1.32,,multiplet,,"0.72(s), 0.91(s), 0.96(d), 1.0(td), 1.16(m), 1.32(m), 1.43(m), 1.50(d), 1.66(m), 1.74(m), 1.79(dt), 2.02(m), 2.11(m), 2.23(m), 3.51(m), 3.90(s broad), 4.07(t=br s)",,,,
cholate,1.43,,multiplet,,"0.72(s), 0.91(s), 0.96(d), 1.0(td), 1.16(m), 1.32(m), 1.43(m), 1.50(d), 1.66(m), 1.74(m), 1.79(dt), 2.02(m), 2.11(m), 2.23(m), 3.51(m), 3.90(s broad), 4.07(t=br s)",,,,
cholate,1.5,,doublet,,"0.72(s), 0.91(s), 0.96(d), 1.0(td), 1.16(m), 1.32(m), 1.43(m), 1.50(d), 1.66(m), 1.74(m), 1.79(dt), 2.02(m), 2.11(m), 2.23(m), 3.51(m), 3.90(s broad), 4.07(t=br s)",,,,
cholate,1.66,,multiplet,,"0.72(s), 0.91(s), 0.96(d), 1.0(td), 1.16(m), 1.32(m), 1.43(m), 1.50(d), 1.66(m), 1.74(m), 1.79(dt), 2.02(m), 2.11(m), 2.23(m), 3.51(m), 3.90(s broad), 4.07(t=br s)",,,,
cholate,1.74,,multiplet,,"0.72(s), 0.91(s), 0.96(d), 1.0(td), 1.16(m), 1.32(m), 1.43(m), 1.50(d), 1.66(m), 1.74(m), 1.79(dt), 2.02(m), 2.11(m), 2.23(m), 3.51(m), 3.90(s broad), 4.07(t=br s)",,,,
cholate,1.79,,doublet of triplets,,"0.72(s), 0.91(s), 0.96(d), 1.0(td), 1.16(m), 1.32(m), 1.43(m), 1.50(d), 1.66(m), 1.74(m), 1.79(dt), 2.02(m), 2.11(m), 2.23(m), 3.51(m), 3.90(s broad), 4.07(t=br s)",,,,
cholate,1.9,,multiplet,,"0.72(s), 0.91(s), 0.96(d), 1.0(td), 1.16(m), 1.32(m), 1.43(m), 1.50(d), 1.66(m), 1.74(m), 1.79(dt), 2.02(m), 2.11(m), 2.23(m), 3.51(m), 3.90(s broad), 4.07(t=br s)",,,,
cholate,2.02,,multiplet,,"0.72(s), 0.91(s), 0.96(d), 1.0(td), 1.16(m), 1.32(m), 1.43(m), 1.50(d), 1.66(m), 1.74(m), 1.79(dt), 2.02(m), 2.11(m), 2.23(m), 3.51(m), 3.90(s broad), 4.07(t=br s)",,,,
cholate,2.11,,multiplet,,"0.72(s), 0.91(s), 0.96(d), 1.0(td), 1.16(m), 1.32(m), 1.43(m), 1.50(d), 1.66(m), 1.74(m), 1.79(dt), 2.02(m), 2.11(m), 2.23(m), 3.51(m), 3.90(s broad), 4.07(t=br s)",,,,
cholate,2.23,,multiplet,,"0.72(s), 0.91(s), 0.96(d), 1.0(td), 1.16(m), 1.32(m), 1.43(m), 1.50(d), 1.66(m), 1.74(m), 1.79(dt), 2.02(m), 2.11(m), 2.23(m), 3.51(m), 3.90(s broad), 4.07(t=br s)",,,,
