Molecule,1H Shift (delta) (ppm),Multiplicity,J constant (Hz),Biologic origin,Source,Author
NAC1,2.02,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Proline,2.02,Multiplet,,Metabolites,Miscelaneous list,Unknown
N-Acetylneuraminic acid (bound AcNeu2->6),2.02,Singlet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Proline,2.02,Multiplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Triglycerides,2.03,,,Human liver tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Proline,2.03,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Lipids,2.03,Multiplet,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
N-Acetylneuraminic acid (α anomer),2.03,Singlet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
N-Acetylneuraminic acid (bound AcNeu2->6),2.03,Singlet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Manβ1-4GlcNAc,2.03,Singlet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
N-acetylcitruline,2.03,Singlet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
N-acetylaspartic acid,2.03,Singlet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Manα1-3Manβ1-4GlcNAc,2.03,Singlet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
N-acetylglutamic acid,2.03,Singlet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
proline,2.03,Multiplet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Glutamate,2.0375,Multiplet,4.651,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Triglycerides,2.04,,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
N-acetyl-glutamate,2.04,Singlet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
βMan(1-4)GlcNAc,2.04,Singlet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
GalNAcFuc (Blood group A trisaccharide),2.04,Singlet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Biantennary octasaccharide (in GM1-gangliosidosis urine),2.04,Singlet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
N-acetylglycoprotein (decrease),2.04,,,Metabolites in the response to cigarette smoke  ,Investigations into biochemical effects of acute cigarette mainstream smoke inhalation using metabolomic (NMR spestroscopic) serum analysis,Metabometrix Ltd. 2006
N-Acetylneuraminic acid (β anomer),2.05,Singlet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
βMan(1-4)GlcNAc,2.05,Singlet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
βMan(1-4)GlcNAc,2.05,Singlet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Biantennary octasaccharide (in GM1-gangliosidosis urine),2.05,Singlet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Biantennary octasaccharide (in GM1-gangliosidosis urine),2.05,Singlet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
β-hydroxybutyrate,2.05,Multiplet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Glutamate,2.06,,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
Proline,2.06,,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
N-acetyl-glutamate,2.06,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Isovalerate,2.06,Doublet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Glutamate,2.06,Doublet of triplets,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
Glutamate,2.06,Doublet of triplets,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
N-Acetylneuraminic acid (bound AcNeu2->6),2.06,Singlet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
βMan(1-4)GlcNAc,2.06,Singlet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
proline,2.06,Multiplet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Glutamine,2.06,Multiplet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
N-acetyl glycoprotein,2.07,Singlet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Homoserine,2.072,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
Glutamate,2.08,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Glutamate,2.08,Multiplet,,Metabolites,Miscelaneous list,Unknown
Sabril,2.08,Multiplet,,Drugs in body fluid,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Glutamate,2.08,Multiplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Glutamate,2.1,Multiplet,,Human liver tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
2-oxoisocaproate,2.1,,,,,
Glutamine,2.109,,-14.504,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Methionine,2.11,Multiplet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Acesulfame K,2.11,Doublet,,Food additives in body fluid - Cola light,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Glutamate,2.12,,-14.849,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Glutamine,2.129,Multiplet,6.5,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Glutamine,2.13,Multiplet,,Human liver tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Glutamine,2.13,Multiplet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Methionine,2.13,Singlet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Methionine,2.13,Singlet,,Human intestine,Table 3: Metabolic changes between intestinal compartments,Unknown
Methionine,2.13,Singlet,,Metabolites,Miscelaneous list,Unknown
Methionine,2.13,Singlet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Methionine,2.13,Singlet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Glutamate,2.14,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Glutamate,2.14,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Methionine,2.14,Singlet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Methionine,2.14,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Methionine,2.14,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Methionine,2.14,Multiplet,,Metabolites,Miscelaneous list,Unknown
Acetylcarnitine,2.14,Singlet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Paracetamol,2.14,Singlet,,Drugs in body fluid,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Methionine,2.14,Multiplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Glutamate,2.14,Multiplet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Glutathione,2.146,Multiplet,6.7,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Glutamine,2.15,,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
Methionine,2.15,Singlet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Mathinine,2.15,Singlet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Glutamine,2.15,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Glutamine,2.15,Multiplet,,Metabolites,Miscelaneous list,Unknown
5-AMEU,2.15,Singlet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
4-Glucuronosidoacetanilide (Paracetamol metabolite),2.15,Singlet,,Drugs in body fluid,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Glutamine,2.15,Multiplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Homoserine,2.151,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
Glutathione,2.159,Multiplet,-15.48,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Glutamine,2.16,Triplet,,,New Metabolite Profiling Strategies for Diagnosis of Crohn's Disease and Colon Cancer,Fatima Khan
N-acetyl-4-aminophenolsulfate (Paracetamol metabolite),2.16,Singlet,,Drugs in body fluid,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
O-acetylglycoprotein (increase),2.16,,,Metabolites in the response to cigarette smoke  ,Investigations into biochemical effects of acute cigarette mainstream smoke inhalation using metabolomic (NMR spestroscopic) serum analysis,Metabometrix Ltd. 2006
Methionine,2.16,Multiplet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Glutamate,2.17,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Glutamate,2.17,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Glutathione,2.17,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Glutathione,2.17,Multiplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Spermine,2.17,Quartet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Propionate,2.19,quartet,,,New Metabolite Profiling Strategies for Diagnosis of Crohn's Disease and Colon Cancer,Fatima Khan
Propionate,2.19,Quartet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Saccharopine,2.19,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
N-acetylglutamic acid,2.19,Multiplet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
O-acetyl glycoprotein,2.19,Singlet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Valine,2.2,dh,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Homocysteine,2.22,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
N-acetyl-glutamate,2.23,Triplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Lipids,2.23,Multiplet,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
N-acetylaspartylglutamic acid,2.23,Multiplet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Methionine,2.232,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
Lipid,2.24,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Valine,2.24,Septet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Acetoacetate,2.24,,,,,
Valine,2.2577,Multiplet,6.971,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Triglycerides,2.26,,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
Valine,2.26,,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
DSS,2.26,,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
DSS,2.26,,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Valine,2.26,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Valine,2.26,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Valine,2.26,Multiplet,,Metabolites,Miscelaneous list,Unknown
N-Acetylneuraminic acid (β anomer),2.26,Doublet of doublets,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Deoxythymine (Thymidine),2.26,Triplet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Valine,2.26,Multiplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Valine,2.26,,,,,
Triglycerides,2.27,,,Human liver tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Valine,2.28,Multiplet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Glutamate,2.28,,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
GABA,2.284,Triplet,"7.755, 7.432, 6.173, 7.933",Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
L-Valine,2.287,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
Acetoacetate,2.29,Singlet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Acetoacetate,2.29,Singlet,,Human intestine,Table 3: Metabolic changes between intestinal compartments,Unknown
Lipids (triglycerides & Fatty acids),2.3,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
L-Valine,2.312,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
GABA,2.32,Triplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
GABA,2.32,Triplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Proline,2.33,Multiplet,,Metabolites,Miscelaneous list,Unknown
Proline,2.33,Multiplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Glutamate,2.3378,Multiplet,8.406,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Glutamate,2.34,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Glutamate,2.34,Multiplet,,Human intestine,Table 3: Metabolic changes between intestinal compartments,Unknown
Glutamate,2.34,Multiplet,,Metabolites,Miscelaneous list,Unknown
Glutamate,2.34,Multiplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Glutamine,2.35,,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
Proline,2.35,,,,Application of high Resolution Magic Angle Spinning NMR Spectroscopy for Evaluation of Donor Human Livers for Transplation,Duarte et al.
Glutamate,2.35,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
β-hydroxybutyrate,2.35,Multiplet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Glutamate,2.352,,"6.875, 6.413, 8.478, -15.915",Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Pyruvate,2.359,Singlet,,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Glutamate,2.36,Doublet/Triplet,,Human liver tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Glutamate,2.36,Doublet/Triplet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Proline,2.36,Multiplet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Glutamate,2.36,Triplet,,Rat liver,High-Resolution MAS-NMR of Rat Liver,Unknown
proline,2.36,Multiplet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Pyruvate,2.36,Singlet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Homocarnosine,2.367,Multiplet,,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Glutamine,2.37,Multiplet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Oxaloacetate,2.38,Singlet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Oxaloacetate,2.38,Singlet,,Human intestine,Table 3: Metabolic changes between intestinal compartments,Unknown
Pyruvate,2.38,,,,,
Glutamine,2.39,Multiplet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Succinate,2.392,Singlet,,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Succinate,2.392,Singlet,,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Ureidopropionic acid,2.4,Triplet,,Pyrimidine pathway,4. Results 4.1 Pyrimidine Metabolites,Unknown
N-acetylaspartylglutamic acid,2.4,Singlet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Glutamate,2.4,Multiplet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Pyroglutamate,2.41,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Succinate,2.41,,,,,
Carnitine,2.43,,,,,
Glutamine,2.432,Multiplet,9.165,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Glutamine,2.44,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Glutamine,2.44,Multiplet,,Human intestine,Table 3: Metabolic changes between intestinal compartments,Unknown
Glutamine,2.44,Multiplet,,Metabolites,Miscelaneous list,Unknown
Depakine,2.44,Multiplet,,Drugs in body fluid,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
Glutamine,2.44,Multiplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
α-ketoglutarate,2.446,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
Glutamine,2.454,,"6.347, 6.324, 9.209, -15.371",Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
α-ketoglutarate,2.458,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
Glutamine,2.46,Multiplet,,Human liver tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Glutamine,2.46,Doublet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Succinate,2.46,Singlet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Sabril,2.46,Multiplet,,Drugs in body fluid,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
2-oxoglutarate,2.47,Triplet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Isocitrate,2.476,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
NAA,2.48,Doublet of doublets,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
NAA,2.48,Doublet of doublets,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
N-acetylaspartylglutamic acid,2.48,Multiplet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
β-hydroxybutyrate,2.48,,,,,
NAA,2.4863,Doublet of doublets,-15.592,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
Pyroglutamate,2.49,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
N-acetylglutamic acid,2.49,Triplet,,Human urine,1H-NMR Spectroscopy of N-Acetylated Metabolites,Engelke et al.
Pyridoxine,2.5,Doublet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
N-acetyl-glutamate,2.5,Singlet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Glutathione,2.51,Multiplet,7.6,Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
β-hydroxybutyrate,2.51,Multiplet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Citrate,2.52,Doublet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Thiamine,2.53,Singlet,,Mouse,Belinda's ppm List of NMR Xxble Compounds Appearing in Waymouth's Media,Unknown
Citrate,2.54,Doublet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
β-alanine,2.54,Triplet,,Pyrimidine pathway,4. Results 4.1 Pyrimidine Metabolites,Unknown
Methylamine,2.54,Singlet,,"Seminal, seminal vesicle and prostate fluid","Ultra High Field NMR Spectroscopic Studies on human Seminal Fluid, Seminal Vesicle and Prostatic Secretions",Lynch et al. 
Isocitrate,2.54,,,Unknown,Table 2. Identity of more likely of the 80 selected peaks from the NMR spectra given with their individual ppm's including the calibration marker creatinine (3.05 oom).,Unknown
Glutathione,2.55,Multiplet,,Human intestine,Table 1: Table of assignment of the metabolites in gut tissues,Unknown
Glutathione,2.55,Multiplet,,Human intestine,Table 3: Metabolic changes between intestinal compartments,Unknown
β-alanine,2.55,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Glutathione,2.55,Multiplet,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
Ureidoisobutyric acid,2.56,Doublet of doublets of doublets,,Pyrimidine pathway,4. Results 4.1 Pyrimidine Metabolites,Unknown
Glutathione,2.56,Multiplet,"7.6, 6.7, -15.92",Brain metabolites,Proton NMR chemical shifts and coupling constants for brain metabolites,V. Govindaraju et al. 2000
3-Ureidopropionic acid,2.57,Triplet,,Purine and pirimidine metabolism,Body fluid NMR spectoscopy in the diagnosis of inborn errors of metabolism,Sytske Moolenaar
β-aminoisobutyric acid,2.6,Multiplet,,Pyrimidine pathway,4. Results 4.1 Pyrimidine Metabolites,Unknown
Acetamido-coumarin,2.6,Singlet,,Naturally occurring coumarin (3-amidocoumarin derivative) ,Spectral Assignments and Reference Data - 1H and 13C NMR assignments of 2-oxo-2H-1-benzopyran-3-acyl and -3-amide derivatives,Martinez-Martinez et al. 2001
Methionine,2.6,Doublet of doublets,,Metabolites,Miscelaneous list,Unknown
Methionine,2.6,Doublet of doublets,,Human small intestine tissues,"""Intestine"" thesis extract",Unknown
2-oxoisocaproate,2.62,,,,,
